Budget Estimates 2022-2023 Revenue,Category,Ministry/Department,Scheme,Actuals 2021-2022 Capital,Actuals 2021-2022 Revenue,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Total,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Revenue,Revised Estimates2022-2023 Total,Sl.No.
15500,Demand No. 1,Department of Agriculture and Farmers Welfare,Crop Insurance Scheme,0,13549.24,13549.24,0,15500,0,13625,13625,0,12375.76,12375.76,1
0,Demand No. 1,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,0,21476.93,21476.93,0,0,0,0,0,0,0,0,2
19500,Demand No. 1,Department of Agriculture and Farmers Welfare,Modified Interest Subvention Scheme (MISS),0,0,0,0,19500,0,23000,23000,0,22000,22000,3
1500,Demand No. 1,Department of Agriculture and Farmers Welfare,Market Intervention Scheme and Price Support Scheme (MIS-PSS),0,2288.33,2288.33,0,1500,0,0.01,0.01,0,1500,1500,4
1,Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),0,0,0,0,1,0,0.01,0.01,0,0,0,5
9,Demand No. 1,Department of Agriculture and Farmers Welfare,Distribution of Pulses to State / Union Territories for Welfare Schemes,0,50,50,0,9,0,800,800,0,166.21,166.21,6
0,Demand No. 1,Department of Agriculture and Farmers Welfare,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,0,691.3,691.3,0,0,0,0,0,0,0,0,7
68000,Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),0,66825.11,66825.11,0,68000,0,60000,60000,0,60000,60000,8
100,Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Man Dhan Yojana,0,39.5,39.5,0,100,0,100,100,0,50,50,9
500,Demand No. 1,Department of Agriculture and Farmers Welfare,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",0,427.04,427.04,0,500,0,955,955,0,955,955,10
500,Demand No. 1,Department of Agriculture and Farmers Welfare,Agriculture Infrastructure Fund (AIF),0,21.43,21.43,0,500,0,500,500,0,150,150,11
100,Demand No. 1,Department of Agriculture and Farmers Welfare,National Beekeeping Honey Mission (NBHM),0,0,0,0,100,0,0.01,0.01,0,100,100,12
243.72,Demand No. 2,Department of Agricultural Research and Education,Agricultural Extension,0,283.71,283.71,0,243.72,0,327,327,0,243.72,243.72,13
48.3,Demand No. 2,Department of Agricultural Research and Education,Agricultural Engineering,0,54.9,54.9,0,48.3,0,65,65,0,48.3,48.3,14
144.9,Demand No. 2,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,0,167.56,167.56,0,144.9,0,240,240,0,144.9,144.9,15
40.87,Demand No. 2,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,0,47,47,0,40.87,0,0,0,0,40.87,40.87,16
526.08,Demand No. 2,Department of Agricultural Research and Education,Crop Science,0,603.28,603.28,0,526.08,0,714.41,714.41,0,526.04,526.04,17
157.53,Demand No. 2,Department of Agricultural Research and Education,Horticultural Science,0,181.46,181.46,0,157.53,0,212,212,0,157.53,157.53,18
35.67,Demand No. 2,Department of Agricultural Research and Education,National Agricultural Science Fund,0,42,42,0,35.67,0,0,0,0,35.67,35.67,19
224.41,Demand No. 2,Department of Agricultural Research and Education,Animal Science,0,257.59,257.59,0,224.41,0,300,300,0,224.41,224.41,20
118.89,Demand No. 2,Department of Agricultural Research and Education,Fisheries Science,0,137.99,137.99,0,118.89,0,150,150,0,118.89,118.89,21
263.77,Demand No. 2,Department of Agricultural Research and Education,Agricultural Universities and Institutions,0,299.94,299.94,0,263.77,0,322.74,322.74,0,263.77,263.77,22
24.51,Demand No. 2,Department of Agricultural Research and Education,Economic Statistics and Management,0,27.65,27.65,0,24.51,0,0,0,0,24.51,24.51,23
167.18,Demand No. 2,Department of Agricultural Research and Education,National Agricultural Higher Education Project (EAP),0,224.63,224.63,0,167.18,0,92.26,92.26,0,167,167,24
NA,Demand No. 3,Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC),1308.77,0,1308.77,1258.94,1258.94,1012.9,0,1012.9,955.29,0,955.29,25
NA,Demand No. 3,Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),232.92,0,232.92,244.04,244.04,214.41,0,214.41,212.01,0,212.01,26
NA,Demand No. 3,Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),89.26,0,89.26,100,100,140.69,0,140.69,125,0,125,27
NA,Demand No. 3,Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),144.06,0,144.06,171.37,171.37,221.75,0,221.75,221.84,0,221.84,28
71,Demand No. 3,Atomic Energy,Grants to other Institutions,0,61.88,61.88,0,71,0,100,100,0,100,100,29
NA,Demand No. 3,Atomic Energy,Fuel Recycle Projects (NRB),646.13,0,646.13,800,800,805.21,0,805.21,703.5,0,703.5,30
NA,Demand No. 3,Atomic Energy,Housing Projects,216.74,0,216.74,182.5,182.5,206.9,0,206.9,165,0,165,31
NA,Demand No. 3,Atomic Energy,Improvement/Modifications of Heavy water projects,33.42,0,33.42,25.97,25.97,50.23,0,50.23,32,0,32,32
NA,Demand No. 3,Atomic Energy,Feedstock,1080.02,0,1080.02,1419.16,1419.16,1599.47,0,1599.47,1374.3,0,1374.3,33
NA,Demand No. 3,Atomic Energy,Radiation and Isotopes Project (BRIT),27.14,0,27.14,38.71,38.71,44.14,0,44.14,98.71,0,98.71,34
140.46,Demand No. 3,Atomic Energy,Nuclear Power Projects,21.12,57.27,78.39,153.93,294.39,153.93,288.35,442.28,200.38,1341.89,1542.27,35
NA,Demand No. 3,Atomic Energy,Nuclear Fuel Fabrication Projects,639.67,0,639.67,597.5,597.5,763.61,0,763.61,800.01,0,800.01,36
NA,Demand No. 3,Atomic Energy,Atomic Energy Regulatory Board Expansion Project,23.56,0,23.56,44.72,44.72,15.81,0,15.81,35,0,35,37
NA,Demand No. 3,Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC),34.99,0,34.99,67.21,67.21,73.62,0,73.62,50,0,50,38
7.85,Demand No. 3,Atomic Energy,Research and Development Projects,1249.95,6.35,1256.3,955.17,963.02,832.25,7.43,839.68,963.99,5.98,969.97,39
9,Demand No. 3,Atomic Energy,Industries and Minerals Projects,70,9,79,100,109,75.25,10,85.25,174.3,9,183.3,40
NA,Demand No. 3,Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,430.82,0,430.82,660,660,515.5,0,515.5,400,0,400,41
388.29,Demand No. 3,Atomic Energy,Nuclear Fuel Inventory,0,-1732.1,-1732.1,0,388.29,0,-168.26,-168.26,0,203.57,203.57,42
0,Demand No. 4,Ministry of Ayush,Assistance to accredited AYUSH Centres of Excellence in Non Governmental/ Private Sector engaged in AYUSH education/drug Development and Research/ Clinical Research/ Folk Medicine etc,0,0.02,0.02,0,0,0,0,0,0,0,0,43
0,Demand No. 4,Ministry of Ayush,AYUSH and Public Health,0,0.51,0.51,0,0,0,0,0,0,0,0,44
43.88,Demand No. 4,Ministry of Ayush,"Information, Education and Communication",0,30.04,30.04,0,43.88,0,41,41,0,55.4,55.4,45
86.1,Demand No. 4,Ministry of Ayush,Promotion of International Cooperation,0,62.94,62.94,0,86.1,0,44.27,44.27,0,94.6,94.6,46
0,Demand No. 4,Ministry of Ayush,Re-oreintation Training Programme of AYUSH Personnel/Continuing Medical Education (ROTP/CME),0,4.8,4.8,0,0,0,0,0,0,0,0,47
0,Demand No. 4,Ministry of Ayush,Extra Mural Research Projects through Research Institutes etc.,0,2.14,2.14,0,0,0,0,0,0,0,0,48
60.22,Demand No. 4,Ministry of Ayush,Champion Services Sector Scheme,0,19.13,19.13,0,60.22,0,21.68,21.68,0,10.06,10.06,49
0.5,Demand No. 4,Ministry of Ayush,Programme on 'Ayurveda-Biology Integrated Health Research',0,0,0,0,0.5,0,0,0,0,0,0,50
1,Demand No. 4,Ministry of Ayush,Pradhan Mantri VRIKSH AYUSH Yojana,0,0,0,0,1,0,0,0,0,0,0,51
15.5,Demand No. 4,Ministry of Ayush,AYURGYAN,0,4.49,4.49,0,15.5,0,9,9,0,10.85,10.85,52
27.79,Demand No. 4,Ministry of Ayush,Ayurswasthay Yojana,0,35,35,0,27.79,0,6,6,0,11,11,53
23.5,Demand No. 4,Ministry of Ayush,AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),0,1.77,1.77,0,23.5,0,20,20,0,20,20,54
48.49,Demand No. 4,Ministry of Ayush,"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",0,31.3,31.3,0,48.49,0,43.49,43.49,0,48.25,48.25,55
3,Demand No. 5,Department of Chemicals and Petrochemicals,Chemical Promotion and Development Scheme,0,3.14,3.14,0,3,0,0,0,0,3,3,56
48.5,Demand No. 5,Department of Chemicals and Petrochemicals,Promotion of Petrochemicals,0,51.57,51.57,0,48.5,0,0,0,0,29,29,57
0,Demand No. 5,Department of Chemicals and Petrochemicals,New Schemes of Petrochemicals,0,0,0,0,0,0,22,22,0,0,0,58
63222.32,Demand No. 6,Department of Fertilisers,Urea Subsidy,0,100988.13,100988.13,0,63222.32,0.2,131099.92,131100.12,0,154097.93,154097.93,59
42000,Demand No. 6,Department of Fertilisers,Nutrient Based Subsidy,0,52769.97,52769.97,0,42000,0,44000,44000,0,71122.23,71122.23,60
0,Demand No. 6,Department of Fertilisers,Scheme for promotion of flagging of merchant ships in India,0,0,0,0,0,0,3.25,3.25,0,2.16,2.16,61
350,Demand No. 7,Department of Pharmaceuticals,National Institutes of Pharmaceutical Education and Research (NIPERs),0,350,350,0,350,0,550,550,0,377,377,62
72.5,Demand No. 7,Department of Pharmaceuticals,Jan Aushadhi Scheme,0,68.5,68.5,0,72.5,0,115,115,0,100,100,63
0,Demand No. 7,Department of Pharmaceuticals,Development of Pharmaceutical Industry,0,157.08,157.08,0,0,0,0,0,0,0,0,64
6,Demand No. 7,Department of Pharmaceuticals,Consumer Awareness Publicity and Price Monitoring,0,2.81,2.81,0,6,0,5,5,0,3.75,3.75,65
100,Demand No. 7,Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,0,0,0,0,100,0,1250,1250,0,36,36,66
1629,Demand No. 7,Department of Pharmaceuticals,Production Linked Incentive Schemes,0,0,0,0,1629,0,1200,1200,0,1663.3,1663.3,67
600.71,Demand No. 8,Ministry of Civil Aviation,Regional Connectivity Scheme,0,980.27,980.27,0,600.71,0,1244.07,1244.07,0,1078.81,1078.81,68
39.32,Demand No. 8,Ministry of Civil Aviation,Purchase of two new aircraft for Special Extra Section Flight operations.,0,129.89,129.89,0,39.32,0,0.01,0.01,0,39.32,39.32,69
9259.91,Demand No. 8,Ministry of Civil Aviation,Air India Asset Holding Limited (SPV),0,1378,1378,0,9259.91,0,0,0,0,7200,7200,70
0.01,Demand No. 8,Ministry of Civil Aviation,Krishi Udaan Scheme,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0.01,71
0,Demand No. 8,Ministry of Civil Aviation,Production Linked Incentive (PLI) Scheme for Drone and Drone Component,0,0,0,0,0,0,33,33,0,40,40,72
10,Demand No. 9,Ministry of Coal,Research and Development,0,8.35,8.35,0,10,0,21,21,0,8.35,8.35,73
54.54,Demand No. 9,Ministry of Coal,"Conservation, Safety and Infrastructure Development in Coal Mines",0,62.68,62.68,0,54.54,0,92.5,92.5,0,54.54,54.54,74
250,Demand No. 9,Ministry of Coal,Exploration of Coal and Lignite,0,425.05,425.05,0,250,0,0,0,0,0,0,75
80,Demand No. 10,Department of Commerce,Agricultural Product Export Development Authority (APEDA),0,85,85,0,80,0,80,80,0,80,80,76
116,Demand No. 10,Department of Commerce,Marine Product Export Development Authority (MPEDA),0,126.05,126.05,0,116,0,100,100,0,100,100,77
71,Demand No. 10,Department of Commerce,Trade Infrastructure for Export Schemes (TIES),0,74.99,74.99,0,71,0,71,71,0,71,71,78
221,Demand No. 10,Department of Commerce,Duty Drawback Scheme,0,234.07,234.07,0,221,0,180,180,0,196.01,196.01,79
131.92,Demand No. 10,Department of Commerce,Tea Board,0,157.37,157.37,0,131.92,0,135,135,0,131.92,131.92,80
226.21,Demand No. 10,Department of Commerce,Coffee Board,0,164.57,164.57,0,226.21,0,226.2,226.2,0,228.2,228.2,81
268.76,Demand No. 10,Department of Commerce,Rubber Board,0,263.95,263.95,0,268.76,0,268.76,268.76,0,268.76,268.76,82
115.5,Demand No. 10,Department of Commerce,Spices Board,0,115.5,115.5,0,115.5,0,115.5,115.5,0,115.5,115.5,83
200,Demand No. 10,Department of Commerce,Market Access Initiative,0,140,140,0,200,0,200,200,0,160,160,84
450,Demand No. 10,Department of Commerce,National Export Insurance Account,0,744,744,0,450,0,0,0,0,906,906,85
0,Demand No. 10,Department of Commerce,Gems and Jewellery Sector,0,7.59,7.59,,,0,0,0,0,0,0,86
NA,Demand No. 10,Department of Commerce,Investment in ECGC (Export Credit Guarantee Corporation),760,0,760,400,400,0.01,0,0.01,388,0,388,87
2621.5,Demand No. 10,Department of Commerce,Interest Equalisation Scheme,0,3487.97,3487.97,0,2621.5,0,2932,2932,0,2376.02,2376.02,88
16.5,Demand No. 10,Department of Commerce,Project Development Fund,0,0,0,0,16.5,0,1.99,1.99,0,10,10,89
0.01,Demand No. 10,Department of Commerce,Champion Service Sector Scheme on Transportation and Logistics,0,0,0,0,0.01,0,0,0,0,0,0,90
